guid,title,group_name,local_activation
1, HQ,,OK
2,North Park HQ,North Park,Fail
3,South Park HQ,South Park,Unavail
4,Tomales Bay HQ,Tomales Bay,OK
5,South Valley HQ,South Valley,OK
6,Eureka HQ,Eureka,Fail
7,Santa Cruz HQ,Santa Cruz,Unavail
8,Monterey HQ,Monterey,OK
9,Point Reyes HQ,Point Reyes,OK
10,Point Lobo HQ,Point Lobos,Fail
11,Substation,,Unavail
12,North Park Substation,North Park,OK
13,South Park Substation,South Park,OK
14,Tomales Bay Substation,Tomales Bay,Fail
15,South Valley Substation,South Valley,Unavail
16,Eureka Substation,Eureka,OK
17,Santa Cruz Substation,Santa Cruz,OK
18,Monterey Substation,Monterey,Fail
19,Point Reyes Substation,Point Reyes,Unavail
20,Point Lobos Substation,Point Lobos,OK
21, Entrance,,OK
2,North Park Entrance,North Park,Fail
23,South Park Entrance,South Park,Unavail
24,Tomales Bay Entrance,Tomales Bay,OK
25,South Valley Entrance,South Valley,OK
26,Eureka Entrance,Eureka,Fail
27,Santa Cruz Entrance,Santa Cruz,Unavail
28,Monterey Entrance,Monterey,OK
29,Point Reyes Entrance,Point Reyes,OK
30,Point Lobo Entrance,Point Lobos,Fail
31,Service Road,,Unavail
32,North Park Service Road,North Park,OK
33,South Park Service Road,South Park,OK
34,Tomales Bay Service Road,Tomales Bay,Fail
35,South Valley Service Road,South Valley,Unavail
36,Eureka Service Road,Eureka,OK
37,Santa Cruz Service Road,Santa Cruz,OK
38,Monterey Service Road,Monterey,Fail
39,Point Reyes Service Road,Point Reyes,Unavail
40,Point Lobos Service Road,Point Lobos,OK
